id,username,password,first_name,last_name,first_name_eng,last_name_eng,gender,DOB,faculty,department,field,student_type,education_level,admit_year,graduation_year,gpax,role,profile_picture
329537,ratpruek.buaphuean@gmail.com,b'$2b$12$PFtTGPv4.Dev7r461OkyBeiq2y8LyDZKX6oV/hHxhbelLqDnuFH5a',ราชพฤกษ์,บัวเผื่อน,ratpruek,buaphuean,M,2538-05-17,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,2557,2559,2.42,alumni,
652805,smtai.thawrawon@gmail.com,b'$2b$12$oedy9xZF1aQP.PUFfhrU6eHEPHP.reUEauaohhWGobjb9de3Dv2x6',สมใจ,ถาวระวรณ์,smtai,thawrawon,F,2530-06-27,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,2550,2552,1.81,alumni,
184352,pnmin.namkham@gmail.com,b'$2b$12$ygO.LQsQexWeP3X5ryuqPO.TELoNW4t.EO2xdyx9tK5ZrLvdj9sw2',ปรมินทร์,นามขำ,pnmin,namkham,M,2515-02-10,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,2531,2534,2.83,alumni,
838213,sunkan.bunsong@gmail.com,b'$2b$12$g67XafhBjhu1/7J.sOd/YeKliE3cqKNwDLZhkjI.rryoyl9LnN.Ge',สุรการณ์,บุญส่ง,sunkan,bunsong,F,2536-08-02,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,2552,2555,3.13,alumni,
503297,nisra.nruethuk@gmail.com,b'$2b$12$ywGaT./J2m5yO63Xf5DPjeAqRofDzQX8yhzuu/zDCMomNfF5XFM.O',อริสรา,นฤทุกข์,nisra,nruethuk,F,2524-09-20,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,2544,2547,2.03,alumni,
969844,thirisra.bunyalai@gmail.com,b'$2b$12$mb2bkqDRuV8xsSAWI2uq6eDFK2NxXWTNodBShEJ3Ri2zwb9bCWMxK',ธีริสรา,บุญญาไลย์,thirisra,bunyalai,F,2512-01-21,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,2532,2536,2.15,alumni,
350156,ninant.thongnueadi@gmail.com,b'$2b$12$MvTRzp2qKqvgKjxN2btP2eLJIiY9LEp566fNaRifrKaVfGf6GpBzy',นิรันดร์,ทองเนื้อดี,ninant,thongnueadi,M,2513-06-10,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,2533,2537,2.35,alumni,
141277,witian.thnatattkam@gmail.com,b'$2b$12$VkIr1zrky/eND1Tg3ew3xuF4RpPKCuyxkR2vHVYsVj5syct5H2VkO',วิเชียร,ถนัดหัตถกรรม,witian,thnatattkam,F,2514-09-22,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมไฟฟ้าและคอมพิวเตอร์,ปริญญาเอก นานาชาติ,ปริญญาเอก,2534,2534,3.11,alumni,
132273,nariman.thatnsutti@gmail.com,b'$2b$12$ZDvAgfSIgFIVr62NSyyquur/pgZo52HtnBMiMjdsaIYk.NzuUyuEK',ณาร์รีมาน,ทัศนสุทธิ,nariman,thatnsutti,F,2515-05-10,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (โครงการจากพื้นที่การศึกษาราชบุรี),ปริญญาตรี,2535,2538,2.58,alumni,
415271,pphaorin.nispnapan@gmail.com,b'$2b$12$u81ZcYXRpQTXZneYRAkPfeZIdZumnSwYvYl0Uo70gBeV28bao/Nay',ปภาวรินทร์,นิษประปัญจ์,pphaorin,nispnapan,F,2516-10-29,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,2533,2535,3.32,alumni,
881491,wnani.ninwan@gmail.com,b'$2b$12$dkGs/XunTLpQ3M.w93B0BeDkD5s1OtQzrhY./f/6oGEbXvDp2tnE6',วนาลี,นิลวรรณ,wnani,ninwan,F,2533-04-14,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,2549,2552,1.93,alumni,
864972,metni.natkhayi@gmail.com,b'$2b$12$P/9ZwlhCVdIb4dKOXj6x2uFRPhzB5gMw0s6FoL80lcWPitHL5/pHm',เมทนี,นาฏคายี,metni,natkhayi,F,2524-08-27,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,2542,2544,3.01,alumni,
807448,sini.thnomkunputn@gmail.com,b'$2b$12$g09GorGH0NG7GrMIdjARJ.JSNdU9G98PgMOJFN0/gvrzWqBZz3Hci',สิริ,ถนอมกุลบุตร,sini,thnomkunputn,F,2517-09-06,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (โครงการจากพื้นที่การศึกษาราชบุรี),ปริญญาตรี,2537,2540,1.34,alumni,https://placekitten.com/221/282
328684,phtnpn.thnimmat@gmail.com,b'$2b$12$JrGQbTepwjS10sCfaLjZC.I4wNq8Zu1lzkNkrX5Bi3EtBWj.DZ8Ny',พชรภรณ์,ถนิมมาศ,phtnpn,thnimmat,F,2513-09-17,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาโท 2 ปี นานาชาติ,ปริญญาโท,2533,2535,1.43,alumni,
325374,yusup.nuanchi@gmail.com,b'$2b$12$DCQYBIdCUFclFpvcOv6lA.Jk44Ekki4NktNMIIPDelKXgqX4loEsm',ยูซุฟ,นวลฉวี,yusup,nuanchi,M,2526-09-12,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,2543,2547,1.77,alumni,
546625,siriya.attnat@gmail.com,b'$2b$12$OIcww9ua0/jmCk0RyfF0.uvoiNlvO4/iNnwLDvrh4GUM5dfJUjsQO',ศิริญา,อัตตนาถ,siriya,attnat,F,2523-01-17,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (โครงการจากพื้นที่การศึกษาราชบุรี),ปริญญาตรี,2542,2546,4.0,alumni,
673757,nopwan.sniun@gmail.com,b'$2b$12$7i18zr1ePBCjsPk83Ydnm.sXmThUUmWL.6JnfDRw1h2kbqivLPGqG',นพวรรณ,ศรีอุ่น,nopwan,sniun,F,2541-11-21,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (โครงการจากพื้นที่การศึกษาราชบุรี),ปริญญาตรี,2558,2562,2.77,alumni,
117595,theotsak.thnomkunputn@gmail.com,b'$2b$12$3AypUgApzULWISPpuLMcb.9.ZO8OJp2TPJwzJ0kmF0lG4u5ITw1Zm',เทอดศักดิ์,ถนอมกุลบุตร,theotsak,thnomkunputn,M,2539-12-16,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิทยาศาสตร์ข้อมูลสุขภาพ,ปริญญาตรี 4 ปี,ปริญญาตรี,2559,2563,3.54,alumni,https://picsum.photos/989/492
477099,rokiyo.twanyiam@gmail.com,b'$2b$12$Wt7Q9NaYVydM03c1iSn5j.t9Z3CB9KH/ygiUXuRRt3gmRLNUIlXUS',รอกีเย๊าะ,ตวันเยี่ยม,rokiyo,twanyiam,F,2521-10-04,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (โครงการจากพื้นที่การศึกษาราชบุรี),ปริญญาตรี,2537,2540,2.86,alumni,https://dummyimage.com/218x298
950185,yulin.khamenok@gmail.com,b'$2b$12$n/HpTP1xJc.ax1J0QaN8verHX5Ac0mZnQ3EBNQHdBPZ7ewiOzGMFC',ยุลิน,ขำเอนก,yulin,khamenok,F,2512-06-06,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมไฟฟ้าและคอมพิวเตอร์,ปริญญาเอก นานาชาติ,ปริญญาเอก,2530,2539,0.34,alumni,
959970,thonkit.thaemthon@gmail.com,b'$2b$12$gas02uZr2FGElcdP18lwr.1DvomJDFJeyPgmrfJG/paQUukY.z.p.',ธนกิตต์,แถมธน,thonkit,thaemthon,M,2531-08-12,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (โครงการจากพื้นที่การศึกษาราชบุรี),ปริญญาตรี,2548,2551,3.11,alumni,
754430,phanthep.tanya@gmail.com,b'$2b$12$R5GVMsm1i1bYZSxZAX03NOkX5nFxpDaFM8aRDp8mrSxStLuVUZLN.',พันธุ์เทพ,ตันยา,phanthep,tanya,M,2517-07-19,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,2534,2537,2.58,alumni,
864642,wonnad.namkham@gmail.com,b'$2b$12$CmapCvzIjzppfKwBxH0CX..I5X7shrC6CFmFwKToPtUJfNmrHm8U2',วรนาฎ,นามขำ,wonnad,namkham,F,2537-10-13,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิทยาศาสตร์ข้อมูลสุขภาพ,ปริญญาตรี 4 ปี,ปริญญาตรี,2554,2558,2.03,alumni,
527562,thomlopronn.ninwimn@gmail.com,b'$2b$12$9F1zj.Jt6uIXJPMXMqU41uaAv3i04xe.ID/V.yutI9aUtaIEy6Bia',ธมลพรรณ,นิลวิมล,thomlopronn,ninwimn,F,2521-09-18,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),ปริญญาตรี,2538,2541,3.3,alumni,
664839,chiryutt.nokthong@gmail.com,b'$2b$12$8..cv6o.2GlraiVwwEoUROZz9MVkYBtC38AZ1IcNqUsKakjFceLAW',จีรยุทธ,นกทอง,chiryutt,nokthong,M,2536-12-22,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,2554,2557,4.0,alumni,
658740,niwiltan.thanathon@gmail.com,b'$2b$12$.WhUH7E5x9RBZ4d6YCpYzuAwy.au8WeYledMQLIwfqwbG8K3ZKZ/.',นิวิลดาน,ธาราธร,niwiltan,thanathon,F,2527-01-04,คณะวิศวกรรมศาสตร์,ภาควิชาวิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,ปริญญาตรี 4 ปี,ปริญญาตรี,2543,2546,3.52,alumni,
